Operon	GeneName	Locus Name	GI	Strand	Pos. Left(pb)	PosRight	Position
21	metS	BSU00380	16077106	1	45633	47627	1
21	yabD	BSU00390	16077107	1	47706	48473	2
22	yabE	BSU00400	16077108	1	48629	49942	1
23	rnmV	BSU00410	16077109	1	50087	50647	1
23	ksgA	BSU00420	16077110	1	50640	51518	2
24	yabG	BSU00430	16077111	1	51680	52552	1
25	veg	BSU00440	16077112	1	52763	53023	1
26	sspF	BSU00450	16077113	1	53183	53368	1
27	ipk	BSU00460	16077114	1	53516	54385	1
27	purR	BSU00470	16077115	1	54441	55298	2
27	yabJ	BSU00480	16077116	1	55295	55672	3
28	spoVG	BSU00490	16077117	1	55866	56159	1
29	glmU	BSU00500	16077118	1	56352	57722	1
29	prs	BSU00510	16077119	1	57745	58698	2
29	ctc	BSU00520	16077120	1	58783	59397	3
29	pth	BSU00530	16077121	1	59504	60070	4
29	yabK	BSU00540	16077122	1	60130	60360	5
30	mfd	BSU00550	16077123	1	60430	63963	1
31	spoVT	BSU00560	16077124	1	64099	64635	1
32	yabM	BSU00570	16077125	1	64817	66415	1
32	yabN	BSU00580	16077126	1	66405	67874	2
32	yabO	BSU00590	16077127	1	67877	68137	3
32	yabP	BSU00600	16077128	1	68216	68518	4
32	yabQ	BSU00610	16077129	1	68515	69150	5
32	divIC	BSU00620	16077130	1	69168	69545	6
32	yabR	BSU00630	16077131	1	69626	70012	7
33	spoIIE	BSU00640	16077132	1	70538	73021	1
34	yabS	BSU00650	16077133	1	73106	73843	1
34	yabT	BSU00660	50812174	1	73809	74825	2
35	tilS	BSU00670	16077135	1	74929	76347	1
35	hprT	BSU00680	16077136	1	76344	76886	2
35	ftsH	BSU00690	16077137	1	76984	78897	3
36	coaX	BSU00700	255767018	1	79092	79868	1
36	hslO	BSU00710	16077139	1	79880	80755	2
36	yacD	BSU00720	16077140	1	80802	81695	3
37	cysK	BSU00730	16077141	1	81771	82697	1
38	pabB	BSU00740	16077142	1	82864	84276	1
38	pabA	BSU00750	16077143	1	84290	84874	2
38	pabC	BSU00760	16077144	1	84874	85755	3
38	sul	BSU00770	16077145	1	85737	86594	4
38	folB	BSU00780	16077146	1	86587	86949	5
38	folK	BSU00790	16077147	1	86946	87449	6
38	yazB	BSU00800	16077148	1	87401	87610	7
38	dusB	BSU00810	16077149	1	87634	88635	8
39	lysS	BSU00820	16077150	1	88727	90226	1
40	ctsR	BSU00830	16077151	1	101449	101913	1
40	mcsA	BSU00840	16077152	1	101927	102484	2
40	mcsB	BSU00850	16077153	1	102484	103575	3
40	clpC	BSU00860	16077154	1	103572	106004	4
40	radA	BSU00870	16077155	1	106096	107472	5
40	yacK	BSU00880	16077156	1	107476	108558	6
41	yacL	BSU00890	16077157	1	108674	109774	1
41	ispD	BSU00900	16077158	1	109789	110487	2
41	ispF	BSU00910	16077159	1	110480	110956	3
42	gltX	BSU00920	16077160	1	111047	112498	1
43	cysE	BSU00930	16077161	1	112800	113453	1
43	cysS	BSU00940	16077162	1	113450	114850	2
43	mrnC	BSU00950	16077163	1	114854	115285	3
43	rlmB	BSU00960	16077164	1	115269	116018	4
43	yacP	BSU00970	16077165	1	116025	116537	5
43	sigH	BSU00980	16077166	1	116600	117256	6
44	rpmG	BSU00990	16077167	1	117349	117498	1
44	secE	BSU01000	16077168	1	117532	117711	2
44	nusG	BSU01010	16077169	1	117890	118423	3
44	rplK	BSU01020	255767019	1	118591	119016	4
44	rplA	BSU01030	255767020	1	119111	119809	5
45	rplJ	BSU01040	255767021	1	120061	120561	1
45	rplL	BSU01050	16077173	1	120607	120978	2
46	ybxB	BSU01060	16077174	1	121068	121673	1
47	rpoB	BSU01070	255767022	1	121919	125500	1
47	rpoC	BSU01080	255767023	1	125562	129161	2
47	ybxF	BSU01090	16077177	1	129340	129588	3
47	rpsL	BSU01100	255767024	1	129702	130118	4
47	rpsG	BSU01110	255767025	1	130160	130630	5
47	fusA	BSU01120	255767026	1	130684	132762	6
47	tufA	BSU01130	16077181	1	132882	134072	7
48	ybaC	BSU01140	255767027	1	134171	135127	1
49	rpsJ	BSU01150	16077183	1	135364	135672	1
49	rplC	BSU01160	16077184	1	135712	136341	2
49	rplD	BSU01170	16077185	1	136369	136992	3
49	rplW	BSU01180	255767028	1	136992	137279	4
49	rplB	BSU01190	255767029	1	137311	138144	5
49	rpsS	BSU01200	16077188	1	138202	138480	6
49	rplV	BSU01210	16077189	1	138497	138838	7
49	rpsC	BSU01220	255767030	1	138842	139498	8
49	rplP	BSU01230	16077191	1	139500	139934	9
49	rpmC	BSU01240	16077192	1	139924	140124	10
49	rpsQ	BSU01250	16077193	1	140147	140410	11
49	rplN	BSU01260	16077194	1	140451	140819	12
49	rplX	BSU01270	16077195	1	140857	141168	13
49	rplE	BSU01280	16077196	1	141195	141734	14
49	rpsN	BSU01290	16077197	1	141757	141942	15
49	rpsH	BSU01300	255767031	1	141974	142372	16
49	rplF	BSU01310	16077199	1	142402	142941	17
49	rplR	BSU01320	255767032	1	142974	143336	18
49	rpsE	BSU01330	16077201	1	143361	143861	19
49	rpmD	BSU01340	16077202	1	143875	144054	20
49	rplO	BSU01350	16077203	1	144085	144525	21
49	secY	BSU01360	16077204	1	144527	145822	22
49	adk	BSU01370	16077205	1	145877	146530	23
49	mapA	BSU01380	16077206	1	146527	147273	24
49	ybzG	BSU01389	255767033	1	147312	147536	25
49	infA	BSU01390	16077207	1	147585	147803	26
49	rpmJ	BSU01400	16077208	1	147837	147950	27
49	rpsM	BSU01410	255767034	1	147973	148338	28
49	rpsK	BSU01420	16077210	1	148359	148754	29
49	rpoA	BSU01430	16077211	1	148931	149875	30
49	rplQ	BSU01440	16077212	1	149953	150315	31
50	cbiO	BSU01450	255767035	1	150443	151288	1
50	cbiO	BSU01460	16077214	1	151303	152133	2
50	ybaF	BSU01470	255767036	1	152130	152927	3
50	truA	BSU01480	255767037	1	152937	153680	4
51	rplM	BSU01490	255767038	1	153842	154279	1
51	rpsI	BSU01500	16077218	1	154300	154692	2
52	ybaJ	BSU01510	255767039	1	155156	155923	1
53	ybaK	BSU01520	16077220	1	156109	156552	1
53	cwlD	BSU01530	16077221	1	156612	157325	2
54	salA	BSU01540	16077222	1	157421	158479	1
55	gerD	BSU01550	16077223	-1	158515	159072	1
56	kbaA	BSU01560	16077224	1	159182	159778	1
57	ybaN	BSU01570	16077225	-1	159779	160543	1
58	ybaR	BSU01580	16077226	1	177083	178519	1
58	ybaS	BSU01590	255767040	1	178665	179585	2
59	feuA	BSU01630	16077231	-1	182370	183323	1
59	feuB	BSU01620	16077230	-1	181347	182351	2
59	feuC	BSU01610	255767042	-1	180344	181354	3
59	ybbA	BSU01600	255767041	-1	179595	180347	4
60	ybbB	BSU01640	16077232	-1	183414	185003	1
61	murQ	BSU01700	16077238	-1	192051	192965	1
61	ybbH	BSU01690	16077237	-1	191183	192034	2
61	ybbF	BSU01680	255767044	-1	189790	191157	3
61	ybbE	BSU01670	255767043	-1	188408	189733	4
61	ybbD	BSU01660	16077234	-1	186452	188380	5
61	ybbC	BSU01650	16077233	-1	185194	186438	6
62	ybbK	BSU01720	255767046	-1	193570	194025	1
62	ybbJ	BSU01710	255767045	-1	193075	193557	2
63	sigW	BSU01730	16077241	1	194849	195412	1
63	rsiW	BSU01740	16077242	1	195426	196052	2
64	ybbP	BSU01750	255767047	1	196213	197034	1
64	ybbR	BSU01760	255767048	1	197027	198478	2
64	glmM	BSU01770	16077245	1	198497	199843	3
65	glmS	BSU01780	16077246	1	200277	202079	1
66	alkA	BSU01800	16077248	-1	202547	203458	1
67	adaA	BSU01810	16077249	1	203729	204364	1
67	adaB	BSU01820	16077250	1	204351	204890	2
68	ndhF	BSU01830	16077251	1	205409	206926	1
68	ybcC	BSU01845	255767049	1	206941	209556	2
69	ybcF	BSU01860	16077254	1	209633	210160	1
70	ybcH	BSU01870	16077255	1	210224	210514	1
70	ybcI	BSU01880	16077256	1	210572	210946	2
71	ybzH	BSU01889	255767050	1	211429	211731	1
72	ybcL	BSU01890	16077257	1	211859	213031	1
73	ybcM	BSU01900	16077258	1	213155	213469	1
74	skfA	BSU01910	16077259	1	213941	214108	1
75	skfB	BSU01920	50812176	1	214175	215407	1
75	skfC	BSU01935	255767051	1	215404	216894	2
75	skfE	BSU01950	16077264	1	216913	217632	3
76	skfF	BSU01960	255767052	1	217697	219040	1
76	skfG	BSU01970	255767053	1	219087	219602	2
76	skfH	BSU01980	255767054	1	219607	220032	3
77	ybdG	BSU01990	255767055	1	220279	221256	1
77	ybdJ	BSU02000	16077269	1	221258	221929	2
77	ybdK	BSU02010	16077270	1	221950	222912	3
77	ybzI	BSU02019	255767056	1	222971	223234	4
78	ybdM	BSU02030	16077272	-1	223219	223989	1
79	ybdN	BSU02040	16077273	-1	224075	224932	1
80	ybdO	BSU02050	16077274	1	225064	226248	1
81	ybxG	BSU02060	16077275	1	226566	227954	1
82	csgA	BSU02070	16077276	1	228066	228314	1
82	ybxH	BSU02080	16077277	1	228331	228522	2
83	ybxI	BSU02090	16077278	-1	228549	229352	1
84	cypC	BSU02100	16077279	1	229525	230778	1
85	ybyB	BSU02110	16077280	-1	230819	231079	1
86	ybeC	BSU02120	255767057	1	231348	232967	1
87	glpT	BSU02140	16077283	-1	233994	235328	1
87	glpQ	BSU02130	16077282	-1	233014	233895	2
88	ybeF	BSU02150	16077284	1	235625	235873	1
89	ybfA	BSU02160	16077285	1	235965	236882	1
89	ybfB	BSU02170	16077286	1	236879	238129	2
90	ybfE	BSU02180	255767058	-1	238164	238448	1
91	ybfF	BSU02190	16077288	-1	238644	239555	1
92	ybfG	BSU02200	16077289	-1	239644	241842	1
93	ybfI	BSU02220	16077291	-1	242834	243661	1
93	ybfH	BSU02210	16077290	-1	241917	242837	2
94	purT	BSU02230	16077292	1	243892	245046	1
95	mpr	BSU02240	16077293	1	245190	246131	1
95	ybfJ	BSU02250	16077294	1	246094	246492	2
96	ybfK	BSU02260	16077295	1	246658	247548	1
97	pssA	BSU02270	16077296	1	247744	248277	1
97	ybfM	BSU02280	16077297	1	248268	248756	2
97	psd	BSU02290	16077298	1	248749	249540	3
97	ybfN	BSU02300	16077299	1	249595	249873	4
98	ybfO	BSU02310	16077300	1	249979	251319	1
99	ybfP	BSU02320	16077301	1	251427	252314	1
100	ybfQ	BSU02330	16077302	1	252514	253482	1
101	gltP	BSU02340	16077303	-1	253518	254762	1
102	nagBB	BSU02360	16077305	-1	256823	257572	1
102	nagP	BSU02350	16077304	-1	254907	256802	2
103	ybgA	BSU02370	16077306	1	257791	258498	1
103	ybgB	BSU02380	16077307	1	258532	258807	2
104	ybgE	BSU02390	16077308	1	259016	260086	1
105	mmuM	BSU02410	16077310	-1	261656	262603	1
105	ybgF	BSU02400	16077309	-1	260123	261535	2
106	ybgJ	BSU02430	16077312	-1	264191	265174	1
106	glnT	BSU02420	255767059	-1	262732	264168	2
107	glnJ	BSU02440	255767060	1	265476	266708	1
107	glnL	BSU02450	16077314	1	266719	267663	2
108	ycbC	BSU02460	255767061	1	267890	268816	1
108	ycbD	BSU02470	16077316	1	268846	270312	2
108	gudP	BSU02480	255767062	1	270396	271763	3
108	gudD	BSU02490	255767063	1	271800	273167	4
108	ycbG	BSU02500	255767064	1	273237	273938	5
108	garD	BSU02510	255767065	1	274029	275561	6
109	ycbJ	BSU02520	16077321	1	275838	276758	1
110	rtpA	BSU02530	16077322	1	277160	277321	1
110	ycbK	BSU02540	16077323	1	277342	278280	2
110	ycbL	BSU02550	255767066	1	278377	279057	3
110	ycbM	BSU02560	255767067	1	279059	279994	4
110	ycbN	BSU02570	255767068	1	280086	281009	5
110	ycbO	BSU02580	255767069	1	281028	281714	6
111	ycbP	BSU02590	16077328	-1	281769	282155	1
112	cwlJ	BSU02600	255767070	1	282469	282897	1
113	ycbR	BSU02610	255767071	1	283003	283734	1
114	yczK	BSU02619	255767072	1	283816	283992	1
114	phoD	BSU02620	255767073	1	284011	285762	2
114	tatAD	BSU02630	255767074	1	285775	285987	3
114	tatCD	BSU02640	255767075	1	286048	286776	4
115	pcp	BSU02650	16077334	-1	286773	287420	1
116	ycbU	BSU02660	255767076	1	287499	288611	1
117	lmrA	BSU02680	16077337	-1	290132	290698	1
117	lmrB	BSU02670	16077336	-1	288653	290092	2
118	ansZ	BSU02690	16077338	1	290915	292042	1
119	estA	BSU02700	16077339	1	292205	292843	1
120	yczC	BSU02710	16077340	-1	292881	293264	1
121	yccF	BSU02720	16077341	1	293499	294575	1
122	natR	BSU02740	16077343	-1	295584	296285	1
122	natK	BSU02730	16077342	-1	294615	295571	2
123	natA	BSU02750	16077344	1	296429	297169	1
123	natB	BSU02760	16077345	1	297170	298330	2
124	yccK	BSU02770	16077346	1	298466	299398	1
125	ycdA	BSU02780	16077347	-1	299438	300502	1
126	ycdB	BSU02790	16077348	1	300830	302248	1
127	ycdC	BSU02800	16077349	1	302435	303796	1
128	cwlK	BSU02810	16077350	-1	303804	304307	1
129	rapJ	BSU02820	16077351	1	304430	305551	1
129	ycdF	BSU02830	16077352	1	305658	306434	2
129	ycdG	BSU02840	16077353	1	306459	308144	3
130	adcA	BSU02850	16077354	1	308332	309291	1
130	adcC	BSU02860	16077355	1	309347	310042	2
130	adcB	BSU02870	16077356	1	310000	310842	3
131	yceB	BSU02880	255767077	-1	310880	311875	1
132	yceC	BSU02890	16077358	1	312159	312758	1
132	yceD	BSU02900	16077359	1	312780	313361	2
132	yceE	BSU02910	16077360	1	313396	313974	3
132	yceF	BSU02920	16077361	1	314025	314798	4
133	yceG	BSU02930	16077362	1	314883	316496	1
133	yceH	BSU02940	16077363	1	316512	317603	2
134	yceI	BSU02950	16077364	1	317725	318927	1
135	yceK	BSU02970	16077366	-1	320421	320723	1
135	yceJ	BSU02960	16077365	-1	319180	320352	2
136	opuAA	BSU02980	255767078	1	321013	322269	1
136	opuAB	BSU02990	16077368	1	322271	323119	2
136	opuAC	BSU03000	16077369	1	323119	324000	3
137	amhX	BSU03010	255767079	-1	324038	325189	1
138	ycgA	BSU03020	255767080	1	325339	326772	1
139	ycgB	BSU03030	255767081	1	326888	327469	1
140	amyE	BSU03040	255767082	1	327618	329597	1
141	ldh	BSU03050	255767083	1	329774	330739	1
141	lctP	BSU03060	255767084	1	330771	332396	2
142	mdr	BSU03070	255767085	-1	332441	333979	1
143	ycgE	BSU03080	255767086	1	334092	334556	1
144	ycgF	BSU03090	16077378	1	334630	335259	1
145	ycgG	BSU03100	255767087	1	335329	336090	1
146	ycgH	BSU03110	255767088	-1	336092	337432	1
147	ycgI	BSU03120	255767089	1	337562	338158	1
148	nadE	BSU03130	16077382	1	338288	339106	1
149	tmrB	BSU03140	255767090	-1	339156	339749	1
150	aroK	BSU03150	255767091	1	340025	340585	1
151	ycgJ	BSU03160	255767092	-1	340613	341374	1
152	ycgK	BSU03170	255767093	1	341492	342466	1
153	cah	BSU03180	16077387	1	342538	343494	1
154	ycgL	BSU03190	16077388	1	343578	344360	1
155	ycgM	BSU03200	16077389	1	344551	345462	1
155	ycgN	BSU03210	255767094	1	345479	347026	2
156	ycgO	BSU03220	255767095	1	347150	348571	1
157	ycgP	BSU03230	255767096	1	348724	349959	1
158	ycgR	BSU03250	16077394	-1	350858	351742	1
158	ycgQ	BSU03240	16077393	-1	349996	350853	2
159	ycgS	BSU03260	16077395	-1	351842	352696	1
160	ycgT	BSU03270	16077396	1	352858	353868	1
161	nasB	BSU03320	255767098	-1	360442	362757	1
161	nasC	BSU03310	255767097	-1	358303	360435	2
161	nasD	BSU03300	16077399	-1	355764	358181	3
161	nasE	BSU03290	16077398	-1	355412	355732	4
161	nasF	BSU03280	16077397	-1	353900	355351	5
162	nasA	BSU03330	255767099	1	362937	364142	1
163	yciA	BSU03340	255767100	1	364259	365173	1
163	yciB	BSU03350	255767101	1	365170	365754	2
164	yczL	BSU03359	255767102	1	365850	366035	1
164	yciC	BSU03360	16077405	1	366063	367256	2
165	yckB	BSU03380	16077407	-1	367995	368858	1
165	yckA	BSU03370	16077406	-1	367305	367985	2
166	yckC	BSU03390	16077408	1	369236	369691	1
167	yckD	BSU03400	16077409	1	369773	370105	1
168	bglC	BSU03410	16077410	1	370259	371692	1
169	nucA	BSU03430	50812179	-1	372154	372597	1
169	nin	BSU03420	16077411	-1	371729	372127	2
170	tlpC	BSU03440	255767103	-1	372771	374492	1
171	hxlA	BSU03460	16077415	-1	375166	375798	1
171	hxlB	BSU03450	16077414	-1	374603	375160	2
172	hxlR	BSU03470	255767104	1	376032	376394	1
173	srfAA	BSU03480	255767105	1	376968	387731	1
173	srfAB	BSU03490	255767106	1	387744	398495	2
174	comS	BSU03500	16077419	1	390880	391020	1
175	srfAC	BSU03510	255767107	1	398532	402359	1
175	srfAD	BSU03520	16077421	1	402388	403116	2
175	ycxA	BSU03530	255767108	1	403217	404443	3
176	ycxC	BSU03550	255767109	-1	405069	406007	1
176	ycxB	BSU03540	16077423	-1	404458	405015	2
177	ycxD	BSU03560	16077425	1	406131	407465	1
178	yczE	BSU03580	255767110	-1	408240	408887	1
179	yclA	BSU03620	16077430	-1	411578	412450	1
179	tcyA	BSU03610	255767112	-1	410656	411462	2
179	tcyB	BSU03600	16077428	-1	409965	410669	3
179	tcyC	BSU03590	255767111	-1	409208	409951	4
180	yclB	BSU03630	16077431	1	412540	413154	1
180	ubiD	BSU03640	16077432	1	413157	414578	2
180	bsdD	BSU03651	255767113	1	414595	414822	3
181	yclD	BSU03652	255767114	1	414819	415283	1
182	yclE	BSU03660	255767115	1	415350	416195	1
183	dtpT	BSU03670	255767116	-1	416235	417713	1
184	yclG	BSU03680	16077436	1	417993	419747	1
185	yczF	BSU03690	16077437	-1	419763	419984	1
186	gerKA	BSU03700	16077438	1	420110	421744	1
186	gerKC	BSU03710	16077439	1	421734	422957	2
186	gerKB	BSU03720	16077440	1	422982	424103	3
187	yclI	BSU03740	255767117	-1	424904	426364	1
187	yclH	BSU03730	16077441	-1	424208	424888	2
188	yclJ	BSU03750	16077443	1	426577	427260	1
188	yclK	BSU03760	16077444	1	427247	428668	2
188	rapC	BSU03770	16077445	1	428831	429979	3
188	phrC	BSU03780	16077446	1	429963	430085	4
189	yczN	BSU03789	255767119	-1	430356	430469	1
190	yclM	BSU03790	16077447	-1	430623	431987	1
191	yclN	BSU03800	16077448	1	432372	433322	1
191	yclO	BSU03810	16077449	1	433315	434262	2
191	yclP	BSU03820	16077450	1	434256	435014	3
191	yclQ	BSU03830	16077451	1	435036	435989	4
192	ycnC	BSU03850	255767120	-1	437474	438352	1
192	ycnB	BSU03840	16077452	-1	436036	437454	2
193	ycnE	BSU03870	16077455	-1	439282	439569	1
193	ycnD	BSU03860	16077454	-1	438516	439265	2
194	yczG	BSU03880	16077456	1	439709	440023	1
195	gabR	BSU03890	16077457	-1	440025	441464	1
196	gabT	BSU03900	16077458	1	441571	442881	1
196	gabD	BSU03910	16077459	1	442950	444338	2
197	glcU	BSU03920	16077460	1	444461	445324	1
197	gdh	BSU03930	16077461	1	445344	446129	2
198	ycnK	BSU03960	16077464	-1	448461	449033	1
198	ycnJ	BSU03950	255767121	-1	446801	448426	2
198	ycnI	BSU03940	16077462	-1	446174	446788	3
199	ycnL	BSU03970	16077465	1	449198	449551	1
200	mtlA	BSU03981	255767122	1	449724	451160	1
200	mtlF	BSU03982	255767123	1	451185	451616	2
200	mtlD	BSU03990	255767124	1	451618	452739	3
200	ycsA	BSU04000	255767125	1	452830	453894	4
201	sipU	BSU04010	16077469	1	454029	454592	1
202	yczH	BSU04020	255767126	-1	454652	455260	1
203	ycsD	BSU04030	50812182	1	455346	455738	1
204	yczO	BSU04039	255767127	-1	455771	455935	1
205	ycsE	BSU04040	255767128	1	456068	456817	1
206	ycsF	BSU04050	255767129	1	457023	457796	1
206	ycsG	BSU04060	255767130	1	457811	459025	2
206	ycsI	BSU04070	255767131	1	459049	459822	3
206	kipI	BSU04080	50812186	1	459867	460589	4
206	kipA	BSU04090	255767132	1	460592	461599	5
206	kipR	BSU04100	255767133	1	461615	462367	6
206	lipC	BSU04110	16077478	1	462431	463072	7
207	yczI	BSU04120	16077479	1	463245	463490	1
208	yczJ	BSU04130	16077480	-1	463496	463783	1
209	pbpC	BSU04140	16077481	1	463934	465940	1
210	ycsN	BSU04150	16077482	1	466042	466944	1
211	mtlR	BSU04160	16077483	1	467130	469214	1
212	ydaB	BSU04170	255767134	1	469426	470937	1
213	ydaC	BSU04180	16077485	-1	470957	471502	1
214	ydaD	BSU04190	16077486	1	471709	472569	1
214	ydaE	BSU04200	16077487	1	472585	473088	2
215	ydaF	BSU04210	16077488	1	473174	473725	1
216	ydaG	BSU04220	16077489	1	473803	474225	1
217	ydaH	BSU04230	16077490	1	474731	475540	1
218	ydzA	BSU04240	16077491	-1	475584	475874	1
219	lrpC	BSU04250	16077492	1	476059	476493	1
220	topB	BSU04260	16077493	1	476558	478741	1
221	ydaJ	BSU04270	16077494	1	478944	480032	1
221	ydaK	BSU04280	16077495	1	480013	480864	2
221	ydaL	BSU04290	16077496	1	480875	482584	3
221	ydaM	BSU04300	16077497	1	482577	483839	4
222	ydaN	BSU04310	16077498	1	483845	485956	1
223	ydaO	BSU04320	16077499	1	486432	488255	1
223	mutT	BSU04330	16077500	1	488314	488763	2
224	ydaP	BSU04340	16077501	1	488830	490554	1
225	ydzK	BSU04359	255767135	-1	490777	491043	1
226	mntH	BSU04360	16077503	-1	491147	492424	1
227	ydaS	BSU04370	16077504	-1	492654	492911	1
228	ydaT	BSU04380	16077505	-1	492989	493441	1
229	ydbA	BSU04390	16077506	1	493559	494377	1
230	gsiB	BSU04400	16077507	1	494506	494877	1
231	ydbB	BSU04410	16077508	1	495009	495350	1
231	ydbC	BSU04420	16077509	1	495344	495703	2
232	ydbD	BSU04430	16077510	-1	495740	496561	1
233	dctB	BSU04440	16077511	-1	496646	497698	1
234	dctS	BSU04450	16077512	1	497768	499375	1
234	dctR	BSU04460	16077513	1	499365	500045	2
234	dctP	BSU04470	16077514	1	500166	501431	3
235	ydbI	BSU04480	16077515	1	501579	502631	1
236	ydbJ	BSU04490	16077516	1	502908	503834	1
236	ydbK	BSU04500	16077517	1	503854	504594	2
237	ydbL	BSU04510	16077518	1	504689	505024	1
238	ydbM	BSU04520	16077519	1	505152	506297	1
239	ydbN	BSU04530	16077520	-1	506322	506501	1
240	ydbO	BSU04540	16077521	1	506866	507738	1
241	ydbP	BSU04550	16077522	-1	507753	508073	1
242	ddl	BSU04560	16077523	1	508248	509312	1
242	murF	BSU04570	16077524	1	509384	510757	2
243	cshA	BSU04580	16077525	1	511106	512641	1
244	ydbS	BSU04590	16077526	1	512814	513293	1
244	ydbT	BSU04600	16077527	1	513283	514764	2
245	ydcA	BSU04610	16077528	-1	515016	515615	1
246	acpS	BSU04620	16077529	1	515710	516075	1
247	ydcC	BSU04630	255767136	1	516241	517257	1
248	alrA	BSU04640	16077531	1	517372	518541	1
249	endB	BSU04650	16077532	1	518657	518938	1
249	ndoA	BSU04660	16077533	1	518943	519293	2
250	rsbRA	BSU04670	16077534	1	519408	520232	1
250	rsbS	BSU04680	16077535	1	520237	520602	2
250	rsbT	BSU04690	16077536	1	520606	521007	3
250	rsbU	BSU04700	16077537	1	521019	522026	4
250	rsbV	BSU04710	16077538	1	522088	522417	5
250	rsbW	BSU04720	16077539	1	522414	522896	6
250	sigB	BSU04730	255767137	1	522862	523650	7
250	rsbX	BSU04740	16077541	1	523650	524249	8
251	ydcF	BSU04750	16077542	1	524492	524785	1
251	ydcG	BSU04760	16077543	1	524782	525222	2
251	ydcH	BSU04770	16077544	1	525206	525649	3
252	ydcI	BSU04780	50812188	1	525743	527902	1
253	ydcK	BSU04790	16077546	1	528129	528581	1
254	immR	BSU04820	16077549	-1	531130	531513	1
254	immA	BSU04810	16077548	-1	530624	531133	2
254	ydcL	BSU04800	16077547	-1	529505	530611	3
255	sacV	BSU04830	16077550	1	531787	531981	1
255	ydzL	BSU04839	255767138	1	531978	532238	2
255	ydcO	BSU04840	16077551	1	532292	532552	3
256	ydcP	BSU04850	16077552	1	532922	533302	1
256	ydcQ	BSU04860	16077553	1	533338	534780	2
256	ydcR	BSU04870	16077554	1	534773	535831	3
257	ydcS	BSU04880	16077555	1	536096	536365	1
257	ydcT	BSU04890	16077556	1	536404	536670	2
257	yddA	BSU04900	16077557	1	536687	536995	3
257	yddB	BSU04910	16077558	1	536985	538049	4
257	yddC	BSU04920	16077559	1	538061	538309	5
257	yddD	BSU04930	16077560	1	538322	538846	6
257	yddE	BSU04940	255767139	1	538836	541229	7
257	yddF	BSU04950	16077562	1	541248	541574	8
257	yddG	BSU04960	16077563	1	541578	544025	9
257	yddH	BSU04970	16077564	1	544022	545011	10
257	yddI	BSU04980	16077565	1	545026	545532	11
257	yddJ	BSU04990	16077566	1	545595	545975	12
258	yddK	BSU05000	16077567	-1	546166	546966	1
259	rapI	BSU05010	16077568	1	547306	548481	1
259	phrI	BSU05020	16077569	1	548438	548557	2
260	yddM	BSU05030	16077570	1	548710	549651	1
261	yddN	BSU05040	16077571	-1	550240	551259	1
262	lrpA	BSU05050	16077572	1	551519	551929	1
263	lrpB	BSU05060	16077573	-1	552052	552501	1
264	yddQ	BSU05070	16077574	1	552616	553158	1
265	yddR	BSU05080	16077575	1	553711	554475	1
266	yddS	BSU05090	16077576	1	554669	555979	1
267	ydzM	BSU05099	255767140	1	556562	556738	1
267	yddT	BSU05100	16077577	1	556763	557449	2
268	ydzN	BSU05109	255767141	1	557873	558058	1
269	ydeA	BSU05110	16077578	1	558408	559001	1
270	cspC	BSU05120	16077579	1	559264	559464	1
271	ydeB	BSU05130	16077580	-1	560151	560612	1
